instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
pythago7825,有限域可行性/覆盖修复,True,True,not_explicitly_mapped_here,—,published UNSAT theorem,"Infeasible, exact encoding/core crosswalk + published theorem; proof archive not replayed locally",not_in_project_primal_table,,,,,,,,,保持硬配额或边界，按未满足约束构造 repair；未完全满足时只保留 near-feasible 标签。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/pythago7825/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ramos3,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,186,156 (covering-code bound),Feasible; strict local optimality proved to bit radius 7; global optimum open,not_in_project_primal_table,,,146.482178,156,156,本地精确组合证明＋全量有限核算,精确全局下界156通过；不由局部排除直接推广，也不声称已证明最优值等于156。,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ramos3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine11,开采先序与跨期容量,True,True,named_case_or_family_expansion,-2508.404143999999991662 (strict),-2521.353274311517894 (portable exact),"394 pair, 70 clique and 5 genuine triple-cover cuts plus flow=cut certificate; global optimum open",not_in_project_primal_table,,,,,,,,闭包/路径核心与少量资源行；min-cut/DP、拉格朗日与有理证书,以开采时刻为状态，联合释放连续时期和先序闭包；更新最终 pit 的限制要显式记录。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine11/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine13,开采先序与跨期容量,True,True,named_case_or_family_expansion,-3495.3706609999999806509 (strict repair),-3504.689959073912780 (portable exact),Rounded public tolerance vector and closure flow=cut certificate; structured neighborhoods tested; global optimum open,not_in_project_primal_table,,,,,,,,闭包/路径核心与少量资源行；min-cut/DP、拉格朗日与有理证书,以开采时刻为状态，联合释放连续时期和先序闭包；更新最终 pit 的限制要显式记录。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine13/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine15,开采先序与跨期容量,True,True,named_case_or_family_expansion,-5018.823005000000004879 (new strict incumbent),-5042.036233392018593 (portable exact),34-block exchange; 121 pair and 61 clique cuts; exact primal and flow=cut audits; global optimum open,numeric_improvement,-5018.819990999996,-5018.823005000000004879,,,,,,闭包/路径核心与少量资源行；min-cut/DP、拉格朗日与有理证书,以开采时刻为状态，联合释放连续时期和先序闭包；更新最终 pit 的限制要显式记录。,"三期 [7,9] 共同改动 34 个矿块/35 bits；新点的三期关闭只适用固定窗外和最终 pit。",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine15/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine21,开采先序与跨期容量,True,True,named_case_or_family_expansion,-10618.7507269999999491342 (strict repair),-10679.232567260660741 (portable exact),"Exact 1,441,651-row primal replay and closure flow=cut certificate; global optimum open",not_in_project_primal_table,,,,,,,,闭包/路径核心与少量资源行；min-cut/DP、拉格朗日与有理证书,以开采时刻为状态，联合释放连续时期和先序闭包；更新最终 pit 的限制要显式记录。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine21/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine25,开采先序与跨期容量,True,True,named_case_or_family_expansion,-15541.66927699999998289011 (strict repair),-15667.918862520611901 (portable exact),"Exact 2,953,849-row primal replay and cross-host closure certificate verification; global optimum open",not_in_project_primal_table,,,,,,,,闭包/路径核心与少量资源行；min-cut/DP、拉格朗日与有理证书,以开采时刻为状态，联合释放连续时期和先序闭包；更新最终 pit 的限制要显式记录。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine25/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
s82,时间选择与排程,True,True,not_explicitly_mapped_here,-33.7970576238223 (strict public point),exact structural bound max sum(A8)=36,Full objective open; high-level acceptance count globally optimal and line 4 conditionally optimal,not_in_project_primal_table,,,,,,,,,只搜索选中作业、次序和资源分配；尝试匹配/CP，保留完整 deadline 语义。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/s82/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
scpj4scip,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,128,107 (strict),Exact branch/dual certificates improved the lower bound; global optimum open; experiments paused,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/scpj4scip/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
scpk4,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,318,283 (strict),Exact domination and independently replayed target-282 branch/dual certificate; global optimum open,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/scpk4/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
scpl4,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,259,214 (portable strict),Complete target-213 exact branch/dual replay; COPT terminal exclusion corroborates; global optimum open,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/scpl4/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
set3-09,跨期生产与库存 recourse,True,True,not_explicitly_mapped_here,176497.152425682499961401493852... (strict repair),no new certified global bound,BOM-aware Decimal reconstruction and period/item/Hamming neighborhoods; global optimum open,not_in_project_primal_table,,,,,,,,,联合释放 BOM/设备相关项和跨期 setup；固定整数后重算库存和需求行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/set3-09/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
shs1042,库存路线/货物与车辆耦合,True,True,not_explicitly_mapped_here,"11,070.7016616034 (strict repair)","10,905.7397762548 (solver)",1.4901% local reproducible gap; article partition and truck-radius-2 neighborhoods closed; global optimum open,not_in_project_primal_table,,,,,,,,,联合改变行程、装载和跨期库存；历史路线只作为候选并重新补全。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/shs1042/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
siena1,选择核心与局部耦合,True,True,not_explicitly_mapped_here,"10,449,008.9 (verified @ 1e-9)","10,219,502.195349596",Feasible; structure-specific decomposition attempts tested; global optimum open,not_in_project_primal_table,,,10214130.1,10219502.195349596,10219502.195349596,原MPS与runner可追溯＋历史全局solver数值支持,按接受合理solver全局数值结果的标准通过。未独立核算全部内部cuts或分支树，也未进行商业数值复跑；API小数是数值记录，不是逐位精确认证。相对旧COPT PDF的提高不能归因为某个参数，也不是同预算性能优势的证明。,,从 row incidence 恢复成本/资源块，选结构邻域做短 pilot；未知语义不靠名称猜。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/siena1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sing11,机组启停与需求/备用耦合,True,True,named_case_or_family_expansion,"19,108,639.4603941927675439822 (strict repair)","18,853,382.0323116 (solver; 1.3358% gap)","1,200 s root-cut LB improves archived PDF-only LB by about 76,817.9; 74/74 blocks and 6 selected groups closed conditionally; global optimum open",not_in_project_primal_table,,,18776564.1,18853382.0323116,18853382.0323116,原MPS＋历史根节点全局solver数值支持,按solver数值标准通过，不宣称最优。没有重放13.0.2的根LP求解，也没有用根cut数量或旧乘子文件冒充完整精确对偶证书。,局部块易解不代表全局耦合已消失；关闭小邻域后更换结构尺度,用 LP 分数性和 incumbent 差异联合释放多机组、多时段；避免重复单机组扫描。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sing11/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sing17,机组启停与需求/备用耦合,True,True,named_case_or_family_expansion,"36,161,699.3779386893546367410 (strict numerical polish)","35,556,219.47983733 (locally reproducible solver LB; 1.6744% gap)","Same integer pattern and only 0.000893823 lower; 50/50 blocks closed conditionally; archived PDF-only LB 35,599,182.4 is stronger; global optimum open",numerical_polish,36161699.37883251,36161699.3779386893546367410,,,,,,局部块易解不代表全局耦合已消失；关闭小邻域后更换结构尺度,用 LP 分数性和 incumbent 差异联合释放多机组、多时段；避免重复单机组扫描。,相同整数签名，约 2.47e-11 相对 polishing；不应记为新的离散设计。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sing17/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sing5,机组启停与需求/备用耦合,True,True,named_case_or_family_expansion,"18,778,435.60767737 (strict)","18,462,676.77864 (locally reproducible solver LB; 1.6815% gap)","Imported run improves the prior local LB by 19,778.272826703; archived PDF-only LB 18,605,207.3 remains stronger; runtime metadata is inconsistent; global optimum open",not_in_project_primal_table,,,,,,,,局部块易解不代表全局耦合已消失；关闭小邻域后更换结构尺度,用 LP 分数性和 incumbent 差异联合释放多机组、多时段；避免重复单机组扫描。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sing5/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sorrell7,冲突图与编码构造,True,True,not_explicitly_mapped_here,-198 (code size 198),-210 published; -216 study solver,Feasible; any improvement must change at least 27 bits; global optimum open,not_in_project_primal_table,,,-223.02692,-210,-210,本地精确组合证明＋全量模型核算,精确全局下界−210通过；不宣称有210串可行解或原问题最优值已闭合。,,在已排除的小交换之外做 ejection chain/大支持替换，保持冲突可行性。,任何更大独立集至少移除 13 个旧顶点、加 14 个，至少 27 bits；不重复小交换。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sorrell7/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
supportcase30,有限域可行性/覆盖修复,True,True,not_explicitly_mapped_here,"no feasible point; best partial 987/1,024",37 covering rows remain,Global feasibility open,not_in_project_primal_table,,,,,,,,,保持硬配额或边界，按未满足约束构造 repair；未完全满足时只保留 near-feasible 标签。,987/1024 覆盖只是 partial；剩余 37 行未满足。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/supportcase30/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
supportcase39,高斯投影像素控制,True,True,not_explicitly_mapped_here,"-1,085,083.856820570460","-1,085,325.230699 root",New strict incumbent from Gaussian-boundary block search; global optimum open,numeric_improvement,-1085080.906934894,-1085083.856820570460,,,,,,,以未饱和边界控制为中心，逐步扩大几何窗口并精确增量评价。,单点、4220 双点候选及 5/7/9 窗口无改进；11×11 成功；13×13 超时不是不可行。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/supportcase39/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
t1722,覆盖/划分的支持交换,True,True,not_explicitly_mapped_here,"108,953 (strict)",no new bound,Exact connected exchanges through five blocks and association-guided repair completed; global optimum open,not_in_project_primal_table,,,,,,,,,去重和支配约简后，围绕 private rows/owner 冲突做多删多加；回填原列。,连通交换≤5 已全部排除，另 84 次 6–12 块 repair 无改善但未覆盖全部大邻域。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/t1722/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
tokyometro,布局/装箱/几何关系,True,True,not_explicitly_mapped_here,"8,263.1 (strict)","7,117.5 (solver)",Translation and impossible-direction audit; 13.864% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,搜索物体、朝向和相对次序而非辅助 bit；临界路径联合移动，回代全部几何行。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/tokyometro/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
xmas10-2,网络/匹配/离散核心,True,True,not_explicitly_mapped_here,-497 (497 cells),511 cells official; 515 study solver,Best known path reproduced; extensive cell-projection/LNS search; global optimum open,not_in_project_primal_table,,,,,,,,,消除可构造的辅助变量，保留守恒/奇偶/连通条件；用小核心生成完整见证。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/xmas10-2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
z26,冲突图与编码构造,True,True,not_explicitly_mapped_here,"-1,198","-1,646 (strict)",Exact MPS-to-MIS interval; global optimum open,not_in_project_primal_table,,,,,,,,,在已排除的小交换之外做 ejection chain/大支持替换，保持冲突可行性。,邻域和重构建议是基于结构的研究路线，不代表已验证加速。,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/z26/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
